state,district,year,jan-rf,jan-dep,feb-rf,feb-dep,mar-rf,mar-dep,apr-rf,apr-dep,may-rf,may-dep,jun-rf,jun-dep,jul-rf,jul-dep,aug-rf,aug-dep,sep-rf,sep-dep,oct-rf,oct-dep,nov-rf,dec-dep,dec-rf,dec-dep
Pondicherry,Pondicherry,2006,23.8,-39,0.0,-100,56.7,119,4.6,-65,70.7,159,59.1,65,21.6,-72,56.5,-45,94.7,-15,426.8,49,275.2,-28,127.6,-44
Pondicherry,Pondicherry,2007,0.1,-100,33.1,-7,0.0,-100,19.7,49,4.9,-82,28.3,-21,119.5,55,151.5,49,59.0,-47,432.8,51,161.3,-58,344.8,51
Pondicherry,Pondicherry,2008,51.0,30,21.5,-40,225.3,770,21.6,64,18.6,-32,49.0,37,8.3,-89,60.3,-41,38.8,-65,332.3,16,704.5,85,128.5,-44
Pondicherry,Pondicherry,2009,33.7,-14,0.0,-100,105.4,307,49.9,278,36.5,34,5.5,-85,37.1,-52,87.0,-15,50.7,-55,76.2,-73,712.4,87,389.5,71
Pondicherry,Pondicherry,2010,46.7,19,0.0,-100,0.0,-100,0.0,-100,114.7,203,237.3,574,32.7,-61,158.8,32,182.7,49,243.1,-12,498.4,36,203.4,19
NCT of Delhi,Delhi,2006,1.7,-91,0.0,-100,33.2,114,1.8,-86,52.6,153,92.5,54,196.3,-16,88.2,-64,127.6,-1,2.8,-89,1.5,-72,2.3,-72
NCT of Delhi,Delhi,2007,1.5,-92,69.5,274,55.1,255,1.0,-92,45.3,118,137.7,130,156.9,-33,189.7,-22,61.6,-52,0.0,-100,0.7,-87,0.1,-99
NCT of Delhi,Delhi,2008,1.9,-90,1.9,-90,0.0,-100,23.6,86,146.2,603,120.0,100,159.1,-32,245.4,0,109.2,-15,0.0,-100,0.0,-100,0.0,-100
NCT of Delhi,Delhi,2009,4.0,-80,5.5,-70,8.4,-46,4.5,-65,31.4,51,16.6,-72,119.0,-49,156.3,-36,192.9,50,2.0,-92,17.5,230,1.9,-77
NCT of Delhi,Delhi,2010,4.5,-77,18.8,1,0.0,-100,0.2,-98,2.3,-89,4.2,-93,173.1,-26,464.4,90,359.7,180,8.9,-66,16.2,206,3.7,-55
Lakshadweep,Lakshadweep,2006,23.1,13,0.0,-100,44.0,252,0.3,-99,411.3,131,286.5,-12,172.6,-39,150.7,-29,318.2,94,119.2,-22,158.7,36,10.8,-82
Lakshadweep,Lakshadweep,2007,9.8,-52,4.7,-72,0.0,-100,16.9,-61,147.3,-17,555.6,71,298.3,6,267.2,26,346.0,110,213.6,40,52.1,-55,126.4,114
Lakshadweep,Lakshadweep,2008,5.5,-73,19.9,21,120.4,863,15.7,-63,180.4,1,254.5,-22,364.0,29,206.5,-3,108.9,-34,253.0,65,67.5,-42,130.1,121
Lakshadweep,Lakshadweep,2009,4.7,-77,1.4,-92,0.1,-99,18.2,-58,162.0,-9,401.6,23,266.4,-6,185.0,-13,144.9,-12,89.2,-42,166.4,42,132.6,125
Lakshadweep,Lakshadweep,2010,18.8,-8,0.0,-100,1.2,-90,35.7,-17,79.1,-56,320.2,-2,338.4,20,333.4,57,162.9,-1,152.8,0,201.4,72,81.5,38
Daman and Diu,Diu,2006,,,,,,,,,,,,,,,,,53.7,0,,,,,0.0,-100
Daman and Diu,Diu,2007,3.0,2900,2.0,233,0.0,-100,0.0,-100,0.0,-100,,,,,,,0.0,-100,,,,,,
Daman and Diu,Diu,2008,,,,,,,,,0.0,-100,,,431.4,73,155.0,17,254.0,373,0.0,-100,0.0,-100,0.0,-100
Daman and Diu,Diu,2009,0.0,-100,0.0,-100,0.0,-100,0.0,-100,0.0,-100,124.3,-10,763.5,205,6.3,-95,5.5,-90,3.0,-87,5.0,-79,0.0,-100
Daman and Diu,Diu,2010,0.0,-100,0.0,-100,0.0,-100,0.0,-100,0.0,-100,73.7,-46,793.2,217,285.6,115,30.6,-43,0.0,-100,0.0,-100,0.0,-100
Dadra and Nagar Haveli,Dadra & Nagar Haveli,2006,0.0,-100,0.0,-100,0.0,-100,0.0,-100,0.0,-100,425.4,12,1023.,7   24,474.0,-24,185.0,-41,32.1,-15,0.0,-100,0.0,-100
Dadra and Nagar Haveli,Dadra & Nagar Haveli,2007,0.0,-100,0.0,-100,0.0,-100,0.0,-100,0.0,-100,343.9,-10,756.0,-8,782.9,25,605.2,93,0.0,-100,2.3,-84,0.0,-100
Dadra and Nagar Haveli,Dadra & Nagar Haveli,2008,0.0,-100,0.1,-86,0.0,-100,0.0,-100,0.0,-100,108.7,-71,763.0,-7,1031.,5   65,377.3,21,2.5,-93,0.0,-100,0.0,-100
Dadra and Nagar Haveli,Dadra & Nagar Haveli,2009,0.0,-100,0.0,-100,0.0,-100,0.0,-100,0.0,-100,130.6,-66,1448.,1   76,251.4,-60,174.5,-44,92.9,146,0.0,-100,0.0,-100
Dadra and Nagar Haveli,Dadra & Nagar Haveli,2010,0.0,-100,0.0,-100,0.0,-100,0.0,,0.0,-100,265.4,-29,931.2,7,801.7,19,556.8,44,64.8,72,0.0,-100,0.0,-100
Chandigarh,Chandigarh,2006,23.1,-49,0.6,-98,111.7,227,0.0,-100,49.7,61,66.5,-45,227.7,-20,211.4,-27,36.7,-76,8.8,-73,7.4,-27,8.4,-65
Chandigarh,Chandigarh,2007,0.0,-100,164.7,320,137.3,301,6.0,-60,9.8,-68,180.2,50,139.6,-51,271.9,-6,53.0,-66,2.2,-93,0.0,-100,7.6,-68
Chandigarh,Chandigarh,2008,13.1,-71,2.2,-94,0.0,-100,33.2,121,49.8,61,376.2,213,182.6,-35,291.0,1,263.2,70,11.2,-66,2.0,-80,0.0,-100
Chandigarh,Chandigarh,2009,7.0,-85,19.0,-52,19.6,-43,11.6,-23,31.2,1,37.8,-69,202.2,-29,192.9,-33,326.0,110,11.2,-66,14.7,46,0.7,-97
Chandigarh,Chandigarh,2010,8.8,-81,16.0,-59,0.0,-100,3.7,-75,8.2,-73,166.2,38,373.4,32,242.2,-16,340.1,119,13.6,-58,0.7,-93,41.1,72
Andaman and Nicobar Islands,Andaman,2006,6.9,-83,0.4,-98,14.0,49,133.6,136,336.1,-10,374.1,-29,200.5,-56,243.4,-47,599.6,28,369.4,24,57.1,-73,66.5,-47
Andaman and Nicobar Islands,Andaman,2007,0.0,-100,0.0,-100,0.0,-100,56.8,0,338.4,-10,390.7,-26,469.2,2,455.0,-1,546.6,17,241.7,-19,199.4,-5,34.2,-73
Andaman and Nicobar Islands,Andaman,2008,11.8,-70,67.7,244,97.3,935,194.7,243,650.4,74,503.9,-5,595.6,30,498.9,9,399.8,-14,243.1,-19,303.1,44,47.4,-62
Andaman and Nicobar Islands,Andaman,2009,0.0,-100,0.0,-100,23.8,153,131.9,133,274.4,-27,758.2,43,345.5,-25,447.6,-2,421.1,-10,319.6,7,51.2,-76,64.5,-49
Andaman and Nicobar Islands,Andaman,2010,103.5,161,0.0,-100,0.0,-100,5.0,-90,408.1,10,394.5,-26,597.1,29,788.5,72,292.5,-36,544.8,91,94.7,-53,137.2,22
Andaman and Nicobar Islands,Nicobar,2006,49.4,-56,61.6,0,169.2,222,305.5,173,364.7,-1,344.3,10,141.4,-49,137.1,-49,378.5,11,409.8,26,144.0,-56,103.4,-62
Andaman and Nicobar Islands,Nicobar,2007,21.5,-81,7.0,-89,60.4,15,51.1,-54,433.8,18,343.7,10,180.8,-35,347.6,28,277.2,-18,232.8,-29,315.1,-3,123.7,-55
Andaman and Nicobar Islands,Nicobar,2008,33.2,-71,14.0,-77,182.3,247,235.9,111,187.0,-49,282.3,-10,214.3,-23,302.6,11,96.4,-72,252.3,-23,404.1,25,161.3,-41
Andaman and Nicobar Islands,Nicobar,2009,67.9,-40,27.9,-55,86.6,65,161.1,44,465.2,26,139.0,-56,152.7,-45,169.1,-38,164.9,-51,122.6,-62,138.4,-57,142.0,-48
Andaman and Nicobar Islands,Nicobar,2010,79.8,-30,26.0,-58,1.7,-97,28.3,-75,232.5,-37,502.0,61,442.9,59,318.9,18,234.8,-31,249.1,-24,583.2,80,355.7,29
West Bengal,Bankura,2006,0.0,-100,0.0,-100,2.3,-92,48.3,21,113.5,59,237.7,10,383.1,24,292.8,-1,288.3,17,15.2,-86,13.2,-16,0.0,-100
West Bengal,Bankura,2007,0.0,-100,44.8,167,42.6,53,32.1,-20,97.6,36,210.9,-3,623.2,101,302.7,2,418.4,69,11.0,-90,31.3,98,0.0,-100
West Bengal,Bankura,2008,26.0,111,5.4,-68,3.3,-88,39.3,-2,93.4,30,398.6,84,438.5,42,302.8,2,231.7,-6,18.9,-82,0.0,-100,0.0,-100
West Bengal,Bankura,2009,4.8,-61,0.0,-100,27.9,0,0.7,-98,196.7,175,56.8,-74,307.3,-1,325.9,10,311.7,26,55.2,-48,13.1,-17,0.0,-100
West Bengal,Bankura,2010,4.8,-61,33.9,102,31.0,41,31.4,-23,118.4,62,188.6,-9,180.7,-42,135.7,-56,199.5,-13,71.4,-32,7.4,-41,37.8,1012
West Bengal, Birbhum,2006,0.0,-100,0.0,-100,20.5,-21,55.8,36,93.0,-1,309.8,36,621.9,103,224.0,-24,466.6,80,24.6,-78,14.9,3,0.0,-100
West Bengal, Birbhum,2007,0.0,-100,55.2,182,60.0,130,47.2,15,69.6,-26,213.5,-6,507.8,66,284.8,-3,426.8,65,43.0,-61,4.5,-69,0.0,-100
West Bengal, Birbhum,2008,15.1,24,6.3,-68,9.1,-65,24.7,-40,96.8,3,294.1,29,396.8,30,299.8,2,202.4,-22,54.2,-51,0.0,-100,0.0,-100
West Bengal, Birbhum,2009,1.8,-85,9.0,-54,7.8,-70,0.0,-100,231.3,146,75.9,-67,231.3,-24,303.7,4,282.6,9,93.2,-16,2.0,-86,0.0,-100
West Bengal, Birbhum,2010,1.8,-85,12.3,-37,9.2,-65,25.9,-37,66.2,-30,214.7,-6,224.3,-27,121.7,-59,221.6,-14,67.6,-39,8.8,-39,49.8,759
West Bengal, Burdwan,2006,0.0,-100,0.0,-100,5.7,-72,72.2,92,113.1,55,174.6,-24,517.0,59,282.6,-7,305.9,27,26.3,-76,9.2,-16,0.0,-100
West Bengal, Burdwan,2007,0.0,-100,48.4,186,40.6,97,27.0,-28,71.7,-2,245.9,7,497.1,53,288.6,-5,451.4,88,50.5,-53,33.6,205,0.0,-100
West Bengal, Burdwan,2008,23.1,80,13.3,-21,21.3,3,37.3,-1,125.2,72,375.5,64,420.1,29,297.9,-2,268.3,12,56.3,-48,0.0,-100,0.0,-100
West Bengal, Burdwan,2009,0.0,-100,0.0,-100,21.3,3,0.3,-99,228.8,213,48.6,-79,254.4,-22,371.3,22,302.7,26,69.0,-36,0.2,-98,0.0,-100
West Bengal, Burdwan,2010,0.0,-100,8.2,-51,10.0,-51,13.1,-65,110.0,51,223.2,-3,190.8,-41,122.8,-60,209.1,-13,49.9,-54,8.3,-25,43.8,1313
West Bengal, Cooch behar,2006,0.2,-98,2.2,-83,6.0,-83,44.9,-65,343.2,-12,588.5,-17,652.8,-9,138.9,-75,389.5,-17,157.1,-9,15.5,36,5.3,89
West Bengal, Cooch behar,2007,0.0,-100,49.7,282,22.1,-36,184.6,45,220.5,-43,418.4,-41,613.2,-15,394.0,-29,429.6,-9,88.1,-49,0.0,-100,0.1,-96
West Bengal, Cooch behar,2008,40.7,226,8.6,-34,63.5,84,136.4,7,219.9,-44,446.5,-37,622.8,-13,854.5,54,275.3,-41,162.3,-6,0.0,-100,0.1,-96
West Bengal, Cooch behar,2009,0.0,-100,0.0,-100,40.7,18,190.4,50,263.0,-33,418.0,-41,357.0,-50,598.8,8,170.7,-64,275.1,60,2.2,-81,0.2,-93
West Bengal, Cooch behar,2010,0.0,-100,0.0,-100,64.4,86,286.8,126,442.4,13,688.4,-3,814.7,13,500.0,-10,478.5,2,57.9,-66,5.8,-49,0.0,-100
West Bengal, Darjeeling,2006,0.0,-100,5.0,-64,6.8,-83,114.7,39,225.7,20,449.1,-12,666.9,-13,446.8,-20,659.2,55,172.2,37,6.9,-30,4.1,14
West Bengal, Darjeeling,2007,0.0,-100,105.8,656,40.4,2,99.4,21,219.9,17,391.7,-23,1064.,8   39,567.1,2,723.8,71,68.5,-45,1.3,-87,2.6,-28
West Bengal, Darjeeling,2008,19.5,15,2.9,-79,48.9,23,66.9,-19,191.8,2,915.0,80,738.5,-4,875.4,58,292.2,-31,137.8,10,27.2,175,0.0,-100
West Bengal, Darjeeling,2009,0.0,-100,0.0,-100,12.9,-68,147.0,78,398.4,112,350.4,-31,765.2,0,759.8,37,265.8,-37,307.3,145,0.5,-95,1.8,-50
West Bengal, Darjeeling,2010,0.0,-100,3.4,-76,6.8,-83,73.3,-11,304.3,62,635.5,25,981.4,28,913.7,64,468.7,10,136.3,9,15.2,54,0.0,-100
West Bengal,Hooghly,2006,0.0,-100,0.0,-100,1.3,-96,91.9,38,146.0,31,167.2,-29,326.2,8,268.8,-1,235.6,7,33.3,-67,0.1,-100,0.0,-100
West Bengal,Hooghly,2007,0.0,-100,44.5,79,14.3,-52,53.1,-20,106.1,-5,277.8,17,472.6,57,235.4,-14,419.5,91,49.3,-51,87.1,309,0.0,-100
West Bengal,Hooghly,2008,54.8,448,9.2,-63,22.2,-26,54.2,-19,95.8,-14,355.6,50,339.5,13,216.1,-21,237.9,8,39.0,-62,0.0,-100,0.0,-100
West Bengal,Hooghly,2009,0.0,-100,0.0,-100,25.4,-15,0.0,-100,194.5,74,79.8,-66,202.9,-33,332.3,22,242.6,10,72.3,-29,6.2,-71,0.0,-100
West Bengal,Hooghly,2010,0.0,-100,30.7,24,4.0,-87,18.4,-72,171.1,53,186.2,-21,135.5,-55,190.4,-30,209.5,-5,64.8,-36,4.2,-80,18.7,188
West Bengal, Howrah,2006,0.0,-100,0.0,-100,1.0,-97,40.9,-26,89.4,-24,107.7,-55,627.3,85,292.4,-17,308.3,4,244.3,144,2.8,-91,0.0,-100
West Bengal, Howrah,2007,4.8,-52,53.8,176,24.2,-26,53.0,-4,64.8,-45,239.5,1,758.4,124,364.7,4,416.1,40,52.8,-47,45.6,51,,
West Bengal, Howrah,2008,,,,,1.8,-95,50.0,-10,90.4,-23,562.5,137,312.6,-8,258.1,-27,362.1,22,70.0,-30,0.0,-100,0.0,-100
West Bengal, Howrah,2009,0.0,-100,0.0,-100,4.0,-88,0.0,-100,328.0,179,43.9,-82,371.3,10,195.7,-44,298.6,1,65.8,-34,0.0,-100,0.0,-100
West Bengal, Howrah,2010,0.0,-100,11.0,-44,0.0,-100,2.2,-96,106.8,-13,175.3,-35,212.8,-36,350.6,-2,204.3,-28,160.1,37,3.0,-92,18.8,121
